year,week,week_start_date,total_overdose_related_911_calls,data_as_of,data_loaded_at
2022,Week 36,2022/08/28,38,2023/12/15 10:56:29 AM,2025/03/18 11:10:12 AM
2022,Week 37,2022/09/04,76,2023/12/15 10:56:29 AM,2025/03/18 11:10:12 AM
2022,Week 38,2022/09/11,50,2023/12/15 10:56:29 AM,2025/03/18 11:10:12 AM
2022,Week 39,2022/09/18,80,2023/12/15 10:56:29 AM,2025/03/18 11:10:12 AM
2022,Week 40,2022/09/25,84,2023/12/15 10:56:29 AM,2025/03/18 11:10:12 AM
2022,Week 41,2022/10/02,76,2023/12/15 10:56:29 AM,2025/03/18 11:10:12 AM
2022,Week 42,2022/10/09,71,2023/12/15 10:56:29 AM,2025/03/18 11:10:12 AM
2022,Week 43,2022/10/16,75,2023/12/15 10:56:29 AM,2025/03/18 11:10:12 AM
2022,Week 44,2022/10/23,70,2023/12/15 10:56:29 AM,2025/03/18 11:10:12 AM
2022,Week 45,2022/10/30,61,2023/12/15 10:56:29 AM,2025/03/18 11:10:12 AM
2022,Week 46,2022/11/06,84,2023/12/15 10:56:29 AM,2025/03/18 11:10:12 AM
2022,Week 47,2022/11/13,69,2023/12/15 10:56:29 AM,2025/03/18 11:10:12 AM
2022,Week 48,2022/11/20,77,2023/12/15 10:56:29 AM,2025/03/18 11:10:12 AM
2022,Week 49,2022/11/27,86,2023/12/15 10:56:29 AM,2025/03/18 11:10:12 AM
2022,Week 50,2022/12/04,90,2023/12/15 10:56:29 AM,2025/03/18 11:10:12 AM
2022,Week 51,2022/12/11,68,2023/12/15 10:56:29 AM,2025/03/18 11:10:12 AM
2022,Week 52,2022/12/18,84,2023/12/15 10:56:29 AM,2025/03/18 11:10:12 AM
2022,Week 53,2022/12/25,74,2023/12/15 10:56:29 AM,2025/03/18 11:10:12 AM
2023,Week 1,2023/01/01,66,2023/12/15 10:56:29 AM,2025/03/18 11:10:12 AM
2023,Week 2,2023/01/08,69,2023/12/15 10:56:29 AM,2025/03/18 11:10:12 AM
2023,Week 3,2023/01/15,68,2023/12/15 10:56:29 AM,2025/03/18 11:10:12 AM
2023,Week 4,2023/01/22,71,2023/12/15 10:56:29 AM,2025/03/18 11:10:12 AM
2023,Week 5,2023/01/29,98,2023/12/15 10:56:29 AM,2025/03/18 11:10:12 AM
2023,Week 6,2023/02/05,78,2023/12/15 10:56:29 AM,2025/03/18 11:10:12 AM
2023,Week 7,2023/02/12,83,2023/12/15 10:56:29 AM,2025/03/18 11:10:12 AM
2023,Week 8,2023/02/19,80,2023/12/15 10:56:29 AM,2025/03/18 11:10:12 AM
2023,Week 9,2023/02/26,81,2023/12/15 10:56:29 AM,2025/03/18 11:10:12 AM
2023,Week 10,2023/03/05,90,2023/12/15 10:56:29 AM,2025/03/18 11:10:12 AM
